1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
,434096.796,281412.601,385111.617,252445.787,286552.053,227996.605,308516.527,160477.663,265801.184,356424.895,318925.136,291670.012,388723.374,394975.346,261082.589,384194.812,463890.219,401534.588,395765.785,409981.911,399308.077,177737.715,452900.666,153117.883,350565.805,402069.299,414440.309,431521.782,281133.45,420205.055,373450.795,426140.699,210187.778,309988.112,648415.376,488659.26,439517.242,364215.725,492876.971,352703.74,319957.744,400028.3,255680.533,264937.021,160275.278,274089.264,228345.332,
,436696.192,274116.284,374250.039,249349.988,279883.977,220120.415,301394.681,164430.146,255504.818,350154.271,310319.155,286394.16,379209.839,394081.075,264081.616,383123.007,462186.999,396227.525,390357.704,397159.588,394512.886,172874.441,448390.309,150915.717,349988.237,389926.714,408452.111,426625.406,278764.617,414674.451,370374.678,431180.55,199336.262,303616.412,649243.931,485046.002,429396.067,359840.387,479454.461,350199.219,314531.845,392739.997,253954.112,264572.263,152148.391,267356.918,233688.025,
,433729.526,276164.03,374645.784,245981.664,283724.795,219286.919,293491.979,156105.722,248724.864,336816.271,305594.816,281010.285,372284.64,390278.118,265364.423,382934.129,463821.16,394147.133,387476.263,390298.087,391884.117,168466.463,436932.991,145930.539,348829.939,380108.652,402371.622,420582.163,277447.957,413143.889,363364.976,432060.492,192713.543,296302.577,642543.566,483713.892,425771.556,353005.253,470765.219,347307.86,308205.663,389409.791,248966.581,263828.243,144468.27,261449.218,231872.516,
,426730.425,274953.561,364121.859,240209.937,285817.659,218771.459,296332.876,148966.969,241242.034,329055.359,301987.111,276201.637,370665.039,384666.716,264356.928,377243.971,458864.343,390182.529,383058.08,385561.757,387640.279,164154.716,431778.645,140270.329,346970.637,374985.118,395375.819,410117.585,274281.15,412389.269,361236.184,435798.066,187612.235,294546.443,637590.581,480626.948,423376.383,348251.357,465189.201,343125.619,306403.364,381743.921,248949.927,260877.234,141351.332,257023.813,222138.474,
,427313.604,273606.338,361788.753,235912.436,279076.051,211054.287,294582.83,147893.307,230594.23,325955.091,299414.004,269985.03,365503.488,385428.181,261083.729,371585.866,453046.273,383568.638,380294.629,375734.856,387826.116,157934.07,434145.244,134780.975,343768.406,373315.43,391088.751,406799.027,273308.093,412553.944,358838.443,428411.56,185455.251,294952.673,620057.883,477222.852,418331.379,343148.726,459892.341,340077.795,299896.346,376331.368,247232.538,255191.487,138606.15,253964.896,215062.402,
,411724.271,275585.706,366279.907,231122.793,278499.631,214038.424,294834.07,142601.428,230544.084,322337.849,297166.161,262919.479,358323.947,388784.137,253220.06,368068.891,448489.616,377879.605,377475.909,373593.14,390376.881,156910.152,439369.145,127989.612,340456.242,370958.824,391965.382,401777.259,268139.012,405225.884,355518.174,422046.773,181804.497,289901.461,608687.079,475177.863,408951.358,330714.896,459700.589,333842.477,296745.964,376946.867,243673.54,247621.272,133027.332,249942.124,210670.661,
,396638.915,267657.91,359859.887,225104.994,266291.219,218873.619,298675.609,142191.812,228360.083,322774.139,293338.285,256656.278,347240.56,382751.125,239707.437,366894.985,444819.255,376205.546,370738.398,370454.39,392541.687,157777.367,439675.701,125735.84,334644.279,364819.185,388792.172,395228.629,258611.454,398315.937,353136.58,412310.643,180138.445,287705.249,601534.941,474986.806,402437.682,321519.503,463751.74,323991.641,294237.475,373325.07,242957.141,240473.561,132150.086,246320.855,205542.944,
,393837.14,261357.104,352071.194,222083.464,253733.614,209810.793,290953.723,143559.281,221189.271,324820.262,287672.963,250740.303,334957.132,378666.479,229849.684,363694.0,443677.907,375990.889,365164.387,365527.863,389753.448,157682.74,442403.222,123733.911,331423.459,361556.991,387044.789,388291.482,248842.04,395274.387,351260.314,402472.997,183420.944,283688.665,596665.863,472307.687,396277.26,315227.796,463961.379,313243.834,291595.304,369377.122,242967.478,234277.447,128897.582,242772.377,202836.42,
,384389.599,261555.16,347247.305,218791.954,253455.791,205845.92,285423.249,137225.866,218645.719,321265.609,281136.394,242567.399,326104.682,376620.725,217735.849,364965.465,439725.429,376566.971,358497.572,355996.012,387440.742,158087.379,441328.97,123342.156,330579.341,357419.473,383322.139,380328.98,243936.597,392299.669,349109.739,393468.549,186255.156,279520.494,592751.842,469128.047,389790.9,309024.994,460761.7,304334.845,286834.305,367089.539,239158.733,228939.192,123936.649,239442.93,201401.872,
,389823.35,256876.793,342309.687,212725.777,247387.269,194139.181,279743.688,132965.806,216980.195,316463.76,278094.529,236522.347,320146.92,376290.164,212274.016,363654.093,432651.706,376356.878,351526.539,350570.157,383067.081,159473.66,435957.041,118551.949,329989.555,342052.502,380206.299,369847.651,239962.177,386669.415,343362.287,391150.245,189969.336,271229.235,597479.598,465412.468,385487.182,302188.834,458146.333,291718.129,285303.329,362908.076,238167.961,225764.054,121158.656,237719.167,198176.832,
,394462.222,249609.546,337379.222,208316.912,244410.253,181205.421,271947.257,128904.577,210248.396,308140.466,271561.397,230039.524,318732.143,366732.167,207488.57,360859.131,423019.127,373285.517,348019.117,343225.924,378781.765,158267.405,425586.968,115951.926,326895.222,329673.673,371178.797,360317.91,241225.322,383485.704,335403.287,388979.093,195076.181,264823.977,592272.676,462765.826,387994.821,298856.205,456871.074,281488.897,283522.69,358238.414,236648.364,223566.709,121521.368,236509.611,193871.83,
,386253.005,248513.161,332558.908,213137.954,245678.182,186297.636,265689.767,122670.576,209695.924,302186.933,261994.752,221239.753,320651.965,362304.707,206863.701,356058.784,413335.634,368812.339,346977.28,338586.998,369655.431,154365.574,420412.267,112349.513,325781.631,323107.82,362780.326,350589.715,244379.718,378330.954,329386.044,393972.679,196215.185,257897.558,583873.282,459353.154,388932.556,294609.627,451176.14,273919.334,281762.158,350944.909,230283.213,220318.202,120328.205,231635.601,192634.292,
